Feature,Coefficient,Abs_Coefficient
tortuosity_mean,-26.132921183363454,26.132921183363454
curvature_std,-18.647338893092087,18.647338893092087
tortuosity_kurtosis,-18.33910110761216,18.33910110761216
tortuosity_median,-17.91076443468553,17.91076443468553
tortuosity_min,-15.403768647717914,15.403768647717914
tortuosity_range,-15.106501893583689,15.106501893583689
tortuosity_skewness,-12.303612224595097,12.303612224595097
angle_48-60,10.631884293471053,10.631884293471053
acute_angle_ratio,-10.493778454391354,10.493778454391354
angle_12-24,10.016847946768735,10.016847946768735
vessel_branching_factor,-9.294971225430931,9.294971225430931
angle_72-84,9.143646408804365,9.143646408804365
vessel_density,-8.926887106172323,8.926887106172323
tortuosity_q1,-8.82796185862324,8.82796185862324
curvature_max,-8.481713399326116,8.481713399326116
curvature_kurtosis,-7.922262554788603,7.922262554788603
branch_angle_std,7.7651037514312,7.7651037514312
angle_168-180,-7.47413732025207,7.47413732025207
vessel_continuity,-7.304117606942227,7.304117606942227
branch_junction_count,7.263734541761947,7.263734541761947
curvature_min,-6.667592369572082,6.667592369572082
angle_60-72,6.623004040881645,6.623004040881645
branch_density,6.551552915288914,6.551552915288914
angle_24-36,6.255272336206603,6.255272336206603
curvature_skewness,6.107824811128013,6.107824811128013
angle_96-108,-5.799455217251879,5.799455217251879
tortuosity_max,-5.58932228820252,5.58932228820252
vessel_curvature_energy,-5.583529337566781,5.583529337566781
angle_120-132,-5.569726388834648,5.569726388834648
vessel_fractal_dimension,-5.44875175025105,5.44875175025105
curvature_q1,5.262455369485259,5.262455369485259
vessel_diameter_mean,-5.127610931473287,5.127610931473287
angle_36-48,4.76670503832757,4.76670503832757
angle_156-168,-4.700562408377349,4.700562408377349
vessel_perimeter,-4.364139002064807,4.364139002064807
vessel_branch_angle_min,-4.252546083033199,4.252546083033199
angle_132-144,-4.112981274089118,4.112981274089118
vessel_cross_section_area,-3.9542936418020265,3.9542936418020265
vessel_segment_length_std,-3.695667649282936,3.695667649282936
angle_0-12,3.660495539297198,3.660495539297198
curvature_range,-3.596258835277267,3.596258835277267
branch_angle_mean,-3.376245686916342,3.376245686916342
vessel_resistance,-3.214356047143138,3.214356047143138
tortuosity_std,-2.90795273947691,2.90795273947691
branch_length_mean,-2.8856715292495867,2.8856715292495867
obtuse_angle_ratio,2.285562950765268,2.285562950765268
vessel_segment_length_mean,-2.216695120500611,2.216695120500611
vessel_complexity,-1.8959773987949489,1.8959773987949489
vessel_flow_velocity,1.6742145448898167,1.6742145448898167
vessel_conductance,1.6656657552001877,1.6656657552001877
vessel_branch_angle_max,-1.3757681162487172,1.3757681162487172
vessel_length_mean,1.2140565580264044,1.2140565580264044
angle_108-120,1.1115910154875057,1.1115910154875057
vessel_surface_area,1.0112002140692893,1.0112002140692893
curvature_median,0.99980566721529,0.99980566721529
curvature_q3,-0.97481215899594,0.97481215899594
vessel_volume,0.8971795424482192,0.8971795424482192
angle_84-96,0.8679273051392808,0.8679273051392808
branch_count,-0.8658965674841315,0.8658965674841315
vessel_diameter_std,-0.8546575263517617,0.8546575263517617
vessel_tortuosity_index,-0.7345164925081535,0.7345164925081535
angle_144-156,-0.6851255268077546,0.6851255268077546
vessel_spatial_dispersion,0.5661208414293741,0.5661208414293741
vessel_length_std,0.491302055713178,0.491302055713178
tortuosity_q3,0.4545747986241314,0.4545747986241314
branch_length_std,-0.16248133372625623,0.16248133372625623
curvature_mean,0.1028737709827918,0.1028737709827918
