,delta_angle_acute_count,delta_angle_obtuse_count,delta_angle_mean
D1_patient_1,4.267892050352334,2.729936670029632,18.196158873025567
D1_patient_2,1.985274843634258,0.8267243232872552,20.117213057895256
D1_patient_3,4.9411047180981065,5.111660498464865,34.107424228607194
D1_patient_4,18.30305707459645,10.846852597602346,51.78502858227069
D1_patient_5,5.661463968200586,1.6640387593153818,8.173213781794225
D1_patient_6,0.4580744438153399,3.1772595228445724,37.628767180066575
D1_patient_7,8.750046671770853,9.148894817093845,3.7552739361701057
D1_patient_8,9.603018125220768,5.31979651648818,23.154600233860016
D1_patient_9,9.197703146624608,1.1569825392258632,1.688274611108561
D1_patient_10,3.6942624388765672,2.5861242961201807,10.75556508585246
D1_patient_11,4.145811721804531,4.1574689653133525,4.713118939107929
D1_patient_12,9.306890257530624,9.128075924491519,17.409637007860837
D1_patient_13,6.157353805329407,0.6875299555288592,28.62957096675966
D1_patient_14,5.021357063934612,1.7637959168953827,27.15691821081976
D1_patient_15,3.1324886282420046,9.205336232069204,1.4406046780755304
D1_patient_16,8.251247727435349,1.6966970023169186,25.997314204909244
D1_patient_17,20.051100032099722,0.2063867558731758,21.806420401606992
D1_patient_18,3.60118264251458,0.6619398360753284,19.23747507950648
D1_patient_19,15.274141645625445,5.213837957718191,23.375372095367943
D1_patient_20,8.954185045514041,7.375583773781104,15.066090907457465
D1_patient_21,6.901699488432907,2.454512726783749,10.541532567531121
D1_patient_22,6.591270215982689,1.1801133017480794,17.179685067855075
D1_patient_23,8.50290835376439,2.54089641355921,25.452764456591268
D1_patient_24,3.865092791161782,1.975520779297046,33.18767838293356
D1_patient_25,19.177147833055322,2.4734336233950316,3.0846358158398246
D1_patient_26,9.319954634314595,5.5094326855246205,36.42508243349131
D1_patient_27,3.592146614145893,6.63324673132159,7.53758659209516
D1_patient_28,9.962694081299134,3.847852016890469,28.273233632848317
D1_patient_29,17.256458747788887,0.8380090156350324,10.103521196867533
D1_patient_30,5.934816652683001,3.114726375633154,10.3337717952667
D1_patient_31,3.631105209492894,1.1420704916072069,31.955768691434145
D1_patient_32,1.9570842716183243,1.0895995973999657,44.48320817458099
D1_patient_33,10.9851644897313,1.9115742505904016,6.09713366120495
D1_patient_34,6.4456602666632286,4.348884863943027,5.315763135573768
D1_patient_35,4.647066435360575,3.896421599050436,20.703401446614592
D1_patient_36,8.238854525228444,4.352190716762724,33.79022107866113
D1_patient_37,7.866338944488092,7.259576853705262,5.924089691046348
D1_patient_38,1.418613676994596,9.459087448744718,8.884607190141438
D1_patient_39,6.600553983207764,2.044719962930449,10.428051057033933
D1_patient_40,5.943580458963314,4.7922465603303515,10.29595138309972
D1_patient_41,11.265640572637178,5.733972096942626,2.879573058335808
D1_patient_42,8.635853994910164,0.8752501022800168,33.607976462021554
D1_patient_43,9.209641015648383,5.37775223785262,10.948600984699226
D1_patient_44,5.689245735704478,0.1241475627465487,12.194981110182205
D1_patient_45,1.6743737553156173,4.390341625501595,0.7316141996459251
D1_patient_46,9.435446750486681,0.6599150095120407,10.703922490715755
D1_patient_47,1.5023673199748515,0.16975375073878496,12.763936457010665
D1_patient_48,12.036550674262108,0.6671844684997232,6.1306214608272285
D1_patient_49,0.3985739253270104,3.472322470179911,3.198203177959563
D1_patient_50,8.877966133999198,5.995595400050091,2.8280899587235737
D1_patient_51,11.921351467260205,6.691561085631703,18.22929002612414
D1_patient_52,5.3853484449207265,6.781616432399527,24.511381036828936
D1_patient_53,2.8861692145395352,7.2751499679990115,4.835038104297517
D1_patient_54,8.79148826634266,5.567973738707778,8.996316954139033
D1_patient_55,2.7200732694818406,5.037042212735567,32.44329197420559
D1_patient_56,7.2735683803318025,4.371039331024367,13.797879374223776
D1_patient_57,6.902905957783386,9.272332629582221,3.942512859815565
D1_patient_58,1.6426258152422974,10.81947301995212,7.050027128802078
D1_patient_59,5.660919215748493,3.410415722792264,48.74367001282066
D1_patient_60,1.61473856831374,3.181263130480483,29.595273908815578
D1_patient_61,11.692753194474857,0.8839126434781583,19.020956976548533
